sample	ngml_av	se_mean	flag
hzpool-ASO6-1-mg/mL	160.180137914942	8.87206444309804	
hzpool-ASO6-10-ug/mL	177.430120786893	6.06135071523232	
hzpool-ASO6-100-ng/mL	173.032724152034	6.10399640404752	
hzpool-ASO6-10-ng/mL	167.526662860592	5.43123879824591	
hzpool-ASO6-1-ng/mL	170.282906723518	7.08433287285223	
hzpool-pbscontrol-0-mg/mL	137.337976573223	15.9257970703021	
9-IPC	167.818223002347	22.4883230686086	
