time_x	cp_y
5	0.0061
6	0.00492
7	0.00194
8	-0.00202
9	-0.00594
10	-0.00757
11	-0.0081
12	-0.00721
13	-0.0044
14	-8.95532E-4
15	0.00135
16	0.00294
17	0.0031
18	0.00205
19	1.98135E-4
20	-0.0014
21	-0.00302
22	-0.00338
23	-0.00312
24	-0.00152
25	-7.49398E-5
26	8.50772E-4
27	7.77761E-4
28	0.00135
29	0.00412
30	0.00656
31	0.00843
32	0.00929
33	0.00928
34	0.00503
35	0.00167
36	-1.81295E-4
37	-0.00226
38	-0.0037
39	-0.00175
40	0.00146
41	0.00427
42	0.00818
43	0.00954
44	0.00792
45	0.00354
46	-1.15843E-4
47	-0.00363
48	-0.00445
49	-0.00537
50	-0.00488
51	-0.00475
52	-0.00483
53	-0.0049
54	-0.00384
55	-0.0033
56	-0.00295
57	-0.00195
58	-0.00127
59	-2.90292E-5
60	0.00115
61	0.0018
62	-0.02116
63	-0.07528
64	-0.12522
65	-0.17362
66	-0.2259
67	-0.25832
68	-0.25392
69	-0.24533
70	-0.22749
71	-0.19713
72	-0.15764
73	-0.11996
74	-0.08817
75	-0.06565
76	-0.05082
77	-0.04046
78	-0.0338
79	-0.02979
80	-0.0261
81	-0.0228
82	-0.01983
83	-0.01753
84	-0.01451
85	-0.01295
86	-0.01123
87	-0.00974
88	-0.00766
89	-0.00703
90	-0.00537
91	-0.00331
92	-0.00151
93	-6.45156E-4
94	6.56688E-4
95	0.00145
96	0.00146
97	0.00146
98	0.00188
99	0.00131
100	0.0011
101	0.0026
102	0.00302
103	0.00302
104	0.00298
105	0.00261
106	0.00171
107	0.00177
108	0.00164
109	0.00286
110	0.00374
111	0.00563
112	0.0055
113	0.00503
114	0.00618
115	0.00769
116	0.00818
117	0.0098
118	0.01213
119	0.01198
120	0.01002
121	0.00477
122	2.77625E-4
123	-0.00163
124	-0.00117
125	0.00226
126	0.0071
127	0.01116
128	0.01189
129	0.00976
130	0.00637
131	0.00315
132	-8.48302E-6
133	-0.00189
134	-0.00319
135	-0.00342
136	-0.00376
137	-0.00389
138	-0.00567
139	-0.00696
140	-0.0082
141	-0.00776
142	-0.00678
143	-0.00387
144	-8.45194E-4
145	0.00234
146	0.00437
147	0.00505
148	0.00476
149	0.00365
150	0.00147
151	-0.00108
152	-0.00266
153	-0.00302
154	-0.00315
155	-0.00263
156	-0.00141
157	-7.22482E-4
158	-0.00138
159	-3.33757E-4
160	2.65605E-4
161	0.00117
162	0.0024
163	0.00331
164	0.00228
165	1.7127E-4
166	-0.00164
167	-0.0013
168	6.71172E-4
169	0.0016
170	0.003
171	0.00512
172	0.00604
173	0.00587
174	0.00782
175	0.00816
176	0.00557
177	0.00253
178	-8.51365E-5
179	-0.00387
180	-0.00492
181	-0.00487
182	-0.01792
183	-0.08349
184	-0.18731
185	-0.29531
186	-0.40557
187	-0.51664
188	-0.58609
189	-0.60819
190	-0.61095
191	-0.59046
192	-0.53621
193	-0.45445
194	-0.36825
195	-0.28955
196	-0.22702
197	-0.18066
198	-0.14809
199	-0.12697
200	-0.11287
201	-0.10093
202	-0.09057
203	-0.0813
204	-0.07099
205	-0.06168
206	-0.05295
207	-0.04515
208	-0.03859
209	-0.0342
210	-0.02941
211	-0.02699
212	-0.02489
213	-0.02305
214	-0.02073
215	-0.01776
216	-0.01357
217	-0.01059
218	-0.00718
219	-0.00488
220	-0.00444
221	-0.00402
222	-0.00387
223	-0.00441
224	-0.00504
225	-0.00471
226	-0.00488
227	-0.00425
228	-0.00312
229	-0.00132
230	-0.00133
231	-0.00137
232	-7.74814E-4
233	-7.88405E-4
234	-0.00138
235	-3.34244E-4
236	1.72837E-4
237	-4.20083E-4
238	-0.00139
239	-0.00175
240	-0.00209
241	-0.00187
242	-0.00157
243	-0.00138
244	-0.00114
245	-0.00158
246	-0.00179
247	-0.00204
248	-0.00118
249	-6.8527E-4
250	-6.63011E-4
251	-8.80752E-4
252	-8.38493E-4
253	-9.16324E-4
254	-0.0013
255	-8.16368E-4
256	4.6361E-4
257	0.00107
258	7.63566E-4
259	8.91814E-4
260	0.0016
261	5.28237E-4
262	-4.35512E-5
263	4.1466E-4
264	7.51479E-4
265	-1.21826E-4
266	-2.51304E-5
267	2.15649E-5
268	-6.9174E-4
269	-6.76322E-4
270	7.88845E-5
271	1.54091E-4
272	1.39298E-4
273	5.84504E-4
274	-1.91416E-4
275	-4.77622E-4
276	1.76172E-4
277	3.69967E-4
278	2.23761E-4
279	4.16557E-4
280	-5.01002E-4
281	-0.00152
282	-0.00133
283	-0.00122
284	-6.6203E-4
285	6.59241E-4
286	0.00164
287	0.00171
288	0.00154
289	5.53776E-4
290	-5.95843E-4
291	-0.00161
292	-0.00168
293	-0.0012
294	-2.04731E-4
295	4.34907E-4
296	0.00115
297	0.00112
298	4.93824E-4
299	-4.67588E-5
300	2.82433E-4
301	5.16254E-5
302	-0.00819
303	-0.05855
304	-0.14451
305	-0.23761
306	-0.33531
307	-0.44031
308	-0.51758
309	-0.55648
310	-0.57667
311	-0.57364
312	-0.53634
313	-0.46668
314	-0.38772
315	-0.31282
316	-0.24908
317	-0.2005
318	-0.16648
319	-0.14154
320	-0.12215
321	-0.10831
322	-0.09601
323	-0.08416
324	-0.07387
325	-0.06471
326	-0.05529
327	-0.0474
328	-0.041
329	-0.03518
330	-0.03028
331	-0.02612
332	-0.02206
333	-0.0191
334	-0.01658
335	-0.0148
336	-0.01273
337	-0.01109
338	-0.01012
339	-0.00931
340	-0.00839
341	-0.00804
342	-0.00764
343	-0.00604
344	-0.00581
345	-0.00557
346	-0.00546
347	-0.00468
348	-0.00486
349	-0.0027
350	-6.37868E-4
351	8.25877E-4
352	0.00177
353	0.00264
354	0.00216
355	0.00251
356	0.00195
357	9.02162E-4
358	2.97253E-4
359	-0.00128
360	-0.00238
361	-0.00221
362	-0.00124
363	-8.71598E-4
364	-2.24998E-4
365	-0.0011
366	-0.00143
367	-0.00251
368	-0.00233
369	-0.0021
370	-4.34321E-4
371	4.86201E-4
372	3.16722E-4
373	-0.00113
374	-3.42234E-4
375	2.50256E-4
376	0.00169
377	0.00486
378	0.00789
379	0.00813
380	0.00677
381	0.00408
382	0.00108
383	-4.46423E-4
384	-0.00131
385	-0.00193
386	-0.00224
387	-0.00288
388	-0.00426
389	-0.00496
390	-0.00533
391	-0.00438
392	-0.00213
393	-3.81544E-4
394	3.06989E-4
395	0.00168
396	0.00205
397	0.00136
398	0.00212
399	0.00331
400	0.00318
401	0.00237
402	0.00158
403	3.02501E-4
404	-5.3917E-4
405	-3.51097E-4
406	-3.93894E-4
407	-0.00123
408	-0.0023
409	-0.00289
410	-0.00384
411	-0.00374
412	-0.00248
413	-0.00106
414	4.35331E-4
415	0.00155
416	0.00189
417	0.00241
418	0.00201
419	0.00118
420	0.00104
421	0.0019
422	-0.00508
423	-0.04948
424	-0.12288
425	-0.20364
426	-0.29315
427	-0.39209
428	-0.46637
429	-0.5122
430	-0.54108
431	-0.54744
432	-0.51912
433	-0.46184
434	-0.39103
435	-0.32099
436	-0.25867
437	-0.20999
438	-0.17425
439	-0.14876
440	-0.12843
441	-0.11268
442	-0.09918
443	-0.08688
444	-0.07646
445	-0.06785
446	-0.05939
447	-0.05343
448	-0.04819
449	-0.04281
450	-0.03709
451	-0.03173
452	-0.02644
453	-0.02195
454	-0.0188
455	-0.01778
456	-0.01744
457	-0.01628
458	-0.01351
459	-0.01068
460	-0.0091
461	-0.00796
462	-0.00695
463	-0.00599
464	-0.00485
465	-0.00303
466	-0.00225
467	-0.002
468	-0.00337
469	-0.00403
470	-0.00315
471	-0.0011
472	-3.1745E-4
473	7.04316E-4
474	8.56081E-4
475	-5.02153E-4
476	-0.00171
477	-0.00139
478	-0.00133
479	-8.67155E-4
480	-9.59995E-5
481	-2.35016E-4
482	5.05604E-4
483	9.16224E-4
484	2.56843E-4
485	-6.62537E-4
486	-9.12024E-4
487	-0.00197
488	-0.00223
489	-0.00228
490	-0.00171
491	-0.00214
492	-0.00225
493	-0.00237
494	-0.00145
495	-4.68799E-4
496	0.0011
497	0.00203
498	0.00283
499	0.00268
500	0.00182
501	0.00118
502	0.00142
503	9.27573E-4
504	0.00125
505	0.00192
506	0.00113
507	3.16479E-4
508	-7.31928E-5
509	-4.12865E-4
510	-7.12537E-4
511	0.00196
512	0.00486
513	0.00774
514	0.00924
515	0.00948
516	0.00672
517	0.00291
518	-0.00107
519	-0.00423
520	-0.00559
521	-0.00584
522	-0.00592
523	-0.00496
524	-0.00392
525	-0.00326
526	-0.00174
527	-6.28654E-4
528	-0.00102
529	-0.00192
530	-0.00188
531	-0.0016
532	-0.00156
533	-0.00122
534	-7.74872E-5
535	4.90386E-4
536	8.28259E-4
537	0.00164
538	0.00166
539	0.00105
540	-2.6259E-4
541	-0.00143
542	-0.00858
543	-0.04258
544	-0.0971
545	-0.1592
546	-0.2306
547	-0.30827
548	-0.37038
549	-0.41541
550	-0.45157
551	-0.47232
552	-0.4691
553	-0.44003
554	-0.39689
555	-0.34444
556	-0.29288
557	-0.24845
558	-0.21266
559	-0.18323
560	-0.16094
561	-0.14187
562	-0.12415
563	-0.11008
564	-0.09783
565	-0.08827
566	-0.08011
567	-0.07349
568	-0.06589
569	-0.05875
570	-0.05176
571	-0.04522
572	-0.03986
573	-0.03628
574	-0.03316
575	-0.02972
576	-0.02717
577	-0.02443
578	-0.02167
579	-0.019
580	-0.01639
581	-0.01445
582	-0.01221
583	-0.01006
584	-0.00822
585	-0.00811
586	-0.00692
587	-0.0072
588	-0.00714
589	-0.00774
590	-0.00749
591	-0.00662
592	-0.00537
593	-0.00428
594	-0.00265
595	-0.00107
596	-0.0012
597	-0.00106
598	-0.00182
599	-0.00321
600	-0.00305
601	-0.0017
602	-2.33912E-4
603	0.00286
604	0.0065
605	0.00726
606	0.00547
607	0.00314
608	8.7356E-4
609	-0.00179
610	-0.00416
611	-0.00455
612	-0.0048
613	-0.00528
614	-0.00549
615	-0.00365
616	-0.00289
617	-0.00221
618	-0.00279
619	-0.00354
620	-0.00387
621	-0.00385
622	-0.00299
623	-0.00203
624	-0.00138
625	-0.00125
626	-3.53574E-4
627	-1.39018E-4
628	5.68481E-5
629	9.73706E-4
630	2.10565E-4
631	-0.0014
632	-0.00267
633	-0.00279
634	-0.00282
635	-0.0014
636	0.00141
637	0.00376
638	0.00514
639	0.00616
640	0.00569
641	0.00528
642	0.00441
643	0.00387
644	0.00263
645	0.00265
646	0.00185
647	0.0014
648	9.20157E-4
649	7.0914E-4
650	-4.11877E-4
651	-0.0011
652	-0.00109
653	-0.00206
654	-0.00305
655	-0.00374
656	-0.00456
657	-0.00578
658	-0.00621
659	-0.00632
660	-0.0061
661	-0.00567
662	-0.00664
663	-0.02551
664	-0.06257
665	-0.10449
666	-0.15198
667	-0.20605
668	-0.25136
669	-0.28344
670	-0.31284
671	-0.33705
672	-0.34968
673	-0.34844
674	-0.33536
675	-0.31419
676	-0.28828
677	-0.26119
678	-0.23422
679	-0.21235
680	-0.1928
681	-0.17566
682	-0.16104
683	-0.1491
684	-0.13705
685	-0.12747
686	-0.11994
687	-0.11178
688	-0.1046
689	-0.0975
690	-0.09037
691	-0.08227
692	-0.07478
693	-0.06798
694	-0.06228
695	-0.05628
696	-0.0496
697	-0.04466
698	-0.03945
699	-0.03486
700	-0.03164
701	-0.03055
702	-0.02971
703	-0.02824
704	-0.0264
705	-0.02444
706	-0.02207
707	-0.01937
708	-0.01737
709	-0.0159
710	-0.01365
711	-0.01215
712	-0.01194
713	-0.01166
714	-0.01082
715	-0.01088
716	-0.00987
717	-0.00751
718	-0.00592
719	-0.00487
720	-0.00354
721	-0.00358
722	-0.00316
723	-0.00203
724	-4.36884E-4
725	-0.00108
726	-0.00134
727	-0.00336
728	-0.00638
729	-0.00834
730	-0.00874
731	-0.00784
732	-0.00588
733	-0.00392
734	-0.00331
735	-0.00228
736	-0.00236
737	-0.00243
738	-0.00167
739	-0.00178
740	-0.00182
741	-6.61296E-4
742	-5.69222E-4
743	-0.00129
744	-9.84897E-4
745	-0.00113
746	-0.00167
747	-0.00152
748	-2.67296E-6
749	2.00497E-4
750	-2.45483E-4
751	-0.00116
752	-0.00178
753	-0.00272
754	-0.00275
755	-0.0022
756	-0.00171
757	-6.53446E-4
758	-0.00102
759	-0.0017
760	-0.00148
761	-0.00141
762	-0.00197
763	-3.21347E-4
764	0.00275
765	0.00452
766	0.00476
767	0.00428
768	0.00283
769	0.00124
770	-4.6405E-4
771	6.34078E-4
772	0.00288
773	0.00334
774	0.00209
775	2.61071E-4
776	-0.00258
777	-0.00443
778	-0.00467
779	-0.00424
780	-0.00189
781	-6.38456E-4
782	-0.0021
783	-0.01696
784	-0.04166
785	-0.0677
786	-0.09389
787	-0.12342
788	-0.14421
789	-0.15862
790	-0.17444
791	-0.1892
792	-0.19856
793	-0.20028
794	-0.19625
795	-0.18843
796	-0.17686
797	-0.16511
798	-0.15571
799	-0.14648
800	-0.13849
801	-0.1326
802	-0.12511
803	-0.11623
804	-0.10926
805	-0.10202
806	-0.09563
807	-0.09192
808	-0.08971
809	-0.08589
810	-0.08233
811	-0.07789
812	-0.07154
813	-0.06487
814	-0.05957
815	-0.05532
816	-0.05249
817	-0.0518
818	-0.05003
819	-0.04855
820	-0.04596
821	-0.04306
822	-0.03918
823	-0.03756
824	-0.03582
825	-0.03348
826	-0.03057
827	-0.02878
828	-0.02698
829	-0.02529
830	-0.0255
831	-0.02624
832	-0.02611
833	-0.02519
834	-0.02378
835	-0.02182
836	-0.02059
837	-0.01891
838	-0.01694
839	-0.01568
840	-0.01361
841	-0.01283
842	-0.01276
843	-0.01439
844	-0.01514
845	-0.01611
846	-0.01566
847	-0.01481
848	-0.01323
849	-0.01221
850	-0.01107
851	-0.00975
852	-0.00909
853	-0.00923
854	-0.00904
855	-0.00917
856	-0.00855
857	-0.00785
858	-0.00671
859	-0.00552
860	-0.00468
861	-0.00358
862	-0.00257
863	-0.00259
864	-0.00297
865	-0.00345
866	-0.00537
867	-0.00744
868	-0.00789
869	-0.00861
870	-0.00859
871	-0.00907
872	-0.00891
873	-0.00873
874	-0.00724
875	-0.00581
876	-0.00369
877	-0.00274
878	-0.0018
879	-0.00231
880	-0.00276
881	-0.00324
882	-0.00265
883	-0.00313
884	-0.00285
885	-0.00203
886	-9.57262E-4
887	-0.00103
888	2.96788E-4
889	0.00166
890	0.00187
891	0.00135
892	0.00141
893	9.86277E-4
894	-5.849E-4
895	-0.00122
896	-0.00118
897	-8.36396E-4
898	-9.56084E-4
899	-9.57722E-5
900	-8.6546E-4
901	-5.84755E-4
902	-9.13158E-4
903	-0.00938
904	-0.02714
905	-0.04297
906	-0.05701
907	-0.0699
908	-0.07463
909	-0.07242
910	-0.07101
911	-0.07222
912	-0.07408
913	-0.07566
914	-0.0749
915	-0.07363
916	-0.07091
917	-0.06763
918	-0.06349
919	-0.05949
920	-0.05558
921	-0.0533
922	-0.05049
923	-0.04764
924	-0.04549
925	-0.0439
926	-0.04281
927	-0.04192
928	-0.04208
929	-0.04018
930	-0.03788
931	-0.03389
932	-0.03102
933	-0.02877
934	-0.02778
935	-0.02754
936	-0.02765
937	-0.02659
938	-0.02416
939	-0.02265
940	-0.02101
941	-0.01997
942	-0.01916
943	-0.01947
944	-0.01775
945	-0.01594
946	-0.01501
947	-0.01445
948	-0.01232
949	-0.01242
950	-0.0128
951	-0.01154
952	-0.01046
953	-0.00982
954	-0.00882
955	-0.0082
956	-0.00929
957	-0.00995
958	-0.0107
959	-0.01046
960	-0.01034
961	-0.00889
962	-0.00748
963	-0.00776
964	-0.00823
965	-0.00845
966	-0.009
967	-0.00994
968	-0.01003
969	-0.00993
970	-0.00974
971	-0.00977
972	-0.00916
973	-0.00749
974	-0.00664
975	-0.00614
976	-0.00561
977	-0.00593
978	-0.00663
979	-0.00643
980	-0.00529
981	-0.00409
982	-0.0017
983	-1.42318E-4
984	8.02715E-4
985	0.00142
986	0.00146
987	-0.00161
988	-0.00314
989	-0.00424
990	-0.00517
991	-0.00559
992	-0.00464
993	-0.00557
994	-0.00621
995	-0.00609
996	-0.00542
997	-0.00429
998	-0.00291
999	-0.00221
1000	-0.00213
1001	-0.00214
1002	-0.00177
1003	1.65247E-4
1004	0.00109
1005	0.00173
1006	0.00126
1007	4.18629E-4
1008	-0.00134
1009	-0.00163
1010	-0.0018
1011	-0.00138
1012	-0.00171
1013	-0.0015
1014	-6.67806E-4
1015	6.80209E-4
1016	3.98225E-4
1017	0.00135
1018	0.0022
1019	0.00223
1020	0.0015
1021	0.00204
1022	0.0012
1023	-0.00662
1024	-0.01944
1025	-0.02851
1026	-0.03527
1027	-0.04137
1028	-0.0394
1029	-0.0308
1030	-0.02527
1031	-0.02187
1032	-0.01831
1033	-0.01677
1034	-0.01819
1035	-0.01969
1036	-0.02197
1037	-0.02332
1038	-0.02376
1039	-0.02296
1040	-0.02171
1041	-0.01972
1042	-0.01928
1043	-0.01784
1044	-0.01782
1045	-0.01739
1046	-0.01674
1047	-0.0152
1048	-0.01505
1049	-0.01423
1050	-0.01401
1051	-0.01406
1052	-0.01429
1053	-0.01171
1054	-0.00802
1055	-0.00605
1056	-0.00506
1057	-0.00463
1058	-0.00664
1059	-0.01067
1060	-0.01288
1061	-0.01305
1062	-0.01205
1063	-0.01137
1064	-0.00836
1065	-0.00677
1066	-0.00494
1067	-0.00322
1068	-0.00227
1069	-0.00158
1070	-8.5312E-4
1071	-0.00112
1072	-0.00215
1073	-0.00333
1074	-0.00374
1075	-0.00329
1076	-0.00215
1077	-0.00131
1078	0.00126
1079	0.0021
1080	0.00223
1081	0.00223
1082	0.00386
1083	0.00427
1084	0.00356
1085	0.00391
1086	0.004
1087	0.00276
1088	0.00165
1089	0.00145
1090	-5.03092E-4
1091	-0.00327
1092	-0.0055
1093	-0.00695
1094	-0.00675
1095	-0.00602
1096	-0.0053
1097	-0.00469
1098	-0.0052
1099	-0.00609
1100	-0.00556
1101	-0.00373
1102	-0.00125
1103	0.00203
1104	0.00407
1105	0.00466
1106	0.00378
1107	0.0018
1108	-5.15018E-4
1109	-0.00184
1110	-0.00108
1111	5.93927E-4
1112	0.00195
1113	0.00287
1114	0.00345
1115	0.00266
1116	8.42063E-4
1117	-4.09227E-4
1118	1.49483E-4
